State,In-state tuition,Out-of-state tuition
Rhode Islands,30879.0,33908.0
Vermonts,29756.0,34360.0
Massachusetts,28889.0,31270.0
District of Columbias,25358.0,25845.0
Pennsylvanias,22391.0,24570.0
Indiana,21215.0,24366.0
New Hampshire,21005.0,25670.0
Connecticuts,20214.0,26493.0
Iowa,19671.0,20868.0
New York,19305.0,21153.0
Maine,18314.0,21781.0
Illinois,16915.0,20325.0
Oregon,16739.0,21351.0
Wisconsin,16615.0,19155.0
New Jersey,16583.0,19314.0
Tennessee,16468.0,19941.0
Ohio,16425.0,18972.0
Virginas,16336.0,20265.0
Minnesota,16061.0,16977.0
Maryland,15969.0,20349.0
Delaware,15830.0,20274.0
Michigan,15294.0,18465.0
Kentucky,15016.0,19422.0
California,14832.0,18926.0
Missouri,14826.0,16494.0
Nebraskas,14554.0,15696.0
Floridas,14198.0,17118.0
South Carolinas,14031.0,18493.0
Washington,13196.0,16575.0
Colorados,12800.0,18000.0
Utah,12758.0,16198.0
South Dakotas,12427.0,13315.0
Kansas,12327.0,14136.0
Georgia,12307.0,15507.0
North Carolina,12086.0,16214.0
Nevada,11885.0,16355.0
Texas,11724.0,15211.0
West Virginias,11446.0,15080.0
Louisianas,11320.0,14996.0
Oklahomas,11104.0,15254.0
Idaho,10922.0,15771.0
Alabamas,10393.0,13996.0
Arizonas,9793.0,14600.0
Hawaii,9622.0,14283.0
Arkansas,9046.0,11219.0
Alaskas,8789.0,14279.0
Mississippi,8302.0,10815.0
Montanas,7629.0,13142.0
North Dakotas,7550.0,10148.0
New Mexicos,7154.0,10695.0
Wyomings,3385.0,8784.0
